,,accuracy,f1,precision,recall
0,forum,0.6708994708994709,0.43072204530788355,0.3648262459990855,0.5604814575402811
0,synthetic,0.6775376302585874,0.4246144509074399,0.38055544982808714,0.49236917493425736
0,mixed_predicted,0.7771314306489729,0.5151687752545304,0.4471936549645967,0.6264455069515401
0,mixed_as_q,0.6765137914150482,0.4255902425203548,0.37824851995468106,0.5006213668572781
1,forum,0.6772486772486772,0.43971470431427867,0.37123160499091634,0.5668677727501258
1,synthetic,0.6840988035507526,0.43408320323003385,0.3881585269355741,0.5076432090762161
1,mixed_predicted,0.7778585711688784,0.5153402870095175,0.44658913816406515,0.631405572702387
1,mixed_as_q,0.6830422719112127,0.43497629589112274,0.38570352041207573,0.5150269371007342
2,forum,0.6783068783068783,0.4419900171697963,0.372881770007418,0.5705307764131294
2,synthetic,0.705712080277885,0.44437202280903376,0.3999845180776342,0.5032150407598223
2,mixed_predicted,0.7800399927285948,0.5205366445235968,0.4514850434154937,0.6334543221103281
2,mixed_as_q,0.7014852293128774,0.4440581167280415,0.3957226551721133,0.510939388954526
3,forum,0.6825396825396826,0.4417302565747763,0.37318972861141536,0.5664727429433312
3,synthetic,0.7120802778849865,0.45154175086581666,0.4129203886407573,0.49813342633977936
3,mixed_predicted,0.7904017451372478,0.543280071417108,0.4782012494986258,0.6336906103930445
3,mixed_as_q,0.7075240737718296,0.4500585125185202,0.40562107276617837,0.505894990585627
4,forum,0.6772486772486772,0.44271165199842133,0.37335873275630616,0.5793411381646676
4,synthetic,0.7059050559629486,0.4464274164565827,0.4022864262329115,0.5040197487056813
4,mixed_predicted,0.7814942737684057,0.5253960737034902,0.4559330413247579,0.6367021007328302
4,mixed_as_q,0.7014852293128774,0.44589722422151157,0.3974025122362718,0.5125402212720941
5,forum,0.6804232804232804,0.4498257220475212,0.3799134199134199,0.5653834183245948
5,synthetic,0.7047472018525666,0.45010740186574266,0.40791097690784217,0.5027462175061889
5,mixed_predicted,0.7800399927285948,0.5373729337973062,0.47021535414740345,0.634480837937896
5,mixed_as_q,0.7009955932756651,0.45010341846437507,0.40363471045154525,0.5100590752259627
6,forum,0.6761904761904762,0.4385862283697846,0.3711796043732818,0.5507314036725801
6,synthetic,0.7072558857583945,0.4482985494472029,0.4074156499134412,0.49863308325214223
6,mixed_predicted,0.7864024722777677,0.5409777791816701,0.4743542619459669,0.6359225788059657
6,mixed_as_q,0.7024645013873021,0.44697992429217787,0.40171434486838214,0.504695854823811
7,forum,0.6825396825396826,0.45235815838456817,0.3818171966741537,0.5695910842969667
7,synthetic,0.7037823234272481,0.44526529623721717,0.4037558364205676,0.49694531953906207
7,mixed_predicted,0.7800399927285948,0.5349020616820764,0.46784698694087745,0.6324278062827601
7,mixed_as_q,0.7005059572384528,0.4462520042893088,0.400386734622231,0.5053367639352357
8,forum,0.6687830687830688,0.43913368185212837,0.3700663360380938,0.5781021810433575
8,synthetic,0.672327286761868,0.42924407518499574,0.38340039598279646,0.5044118669148524
8,mixed_predicted,0.7674968187602255,0.5130751560615394,0.44342550095717864,0.6337355739885906
8,mixed_as_q,0.6717806430553289,0.4307276627547996,0.3814698042718003,0.5133493762275728
9,forum,0.6867724867724868,0.4473104511723322,0.37754703634292436,0.5717697335344395
9,synthetic,0.7072558857583945,0.44681795104366206,0.4031055956093437,0.5032542146705031
9,mixed_predicted,0.7853117614979095,0.5297410315982954,0.4607192255130235,0.6369512357571311
9,mixed_as_q,0.7040966215113432,0.4469443071687458,0.3990954412686761,0.5112587871721762
